,EDICAO,UF,MUNICIPIO,INSTITUICAO,CURSO,TURNO,NOTA_CORTE
0,20191,MS,Maracaju,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,ADMINISTRAÇÃO,Noturno,"591,41"
1,20191,MT,Tangará da Serra,UNIVERSIDADE DO ESTADO DE MATO GROSSO,ADMINISTRAÇÃO,Noturno,"592,86"
2,20191,MT,Rondonópolis,UNIVERSIDADE FEDERAL DE MATO GROSSO,ADMINISTRAÇÃO,Noturno,"593,34"
3,20191,PB,Bananeiras,UNIVERSIDADE FEDERAL DA PARAÍBA,ADMINISTRAÇÃO,Integral,"593,36"
4,20191,MS,Naviraí,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,ADMINISTRAÇÃO,Noturno,"594,56"
5,20191,RS,Tapes,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,ADMINISTRAÇÃO,Matutino,"595,15"
6,20191,MT,Tangará da Serra,UNIVERSIDADE DO ESTADO DE MATO GROSSO,ADMINISTRAÇÃO,Matutino,"595,44"
7,20191,MS,Ponta Porã,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,ADMINISTRAÇÃO,Noturno,"595,86"
8,20191,PB,Bananeiras,UNIVERSIDADE FEDERAL DA PARAÍBA,ADMINISTRAÇÃO,Noturno,"596,36"
9,20191,PI,Campo Maior,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",ADMINISTRAÇÃO,Noturno,"596,63"
10,20191,AP,Laranjal do Jari,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",ADMINISTRAÇÃO,Matutino,"597,62"
11,20191,PI,Cocal,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PIAUÍ",AGROECOLOGIA,Vespertino,"537,68"
